Index,Price,Currency,Condition,Vehicle_brand,Vehicle_model,Vehicle_version,Vehicle_generation,Production_year,Mileage_km,Power_HP,Displacement_cm3,Fuel_type,CO2_emissions,Drive,Transmission,Type,Doors_number,Colour,Origin_country,First_owner,First_registration_date,Offer_publication_date,Offer_location,Features
0,86200,PLN,New,Abarth,595,,,2021,1.0,145.0,1400.0,Gasoline,,Front wheels,Manual,small_cars,3.0,gray,,,,04/05/2021,"ul. Jubilerska 6 - 04-190 Warszawa, Mazowieckie (Polska)",[]
1,43500,PLN,Used,Abarth,Other,,,1974,59000.0,75.0,1100.0,Gasoline,,Front wheels,Manual,coupe,2.0,silver,,,,03/05/2021,"kanonierska12 - 04-425 Warszawa, Rembertów (Polska)",[]
2,44900,PLN,Used,Abarth,500,,,2018,52000.0,180.0,1368.0,Gasoline,,,Automatic,small_cars,3.0,silver,,,,03/05/2021,"Warszawa, Mazowieckie, Białołęka","['ABS', 'Electric front windows', 'Drivers airbag', 'Power steering', 'ASR (traction control)', 'Rear view camera', 'Heated side mirrors', 'CD', 'Electrically adjustable mirrors', 'Passengers airbag', 'Alarm', 'Bluetooth', 'Automatic air conditioning', 'Airbag protecting the knees', 'Central locking', 'Immobilizer', 'Factory radio', 'Alloy wheels', 'Rain sensor', 'On-board computer', 'Multifunction steering wheel']"
3,39900,PLN,Used,Abarth,500,,,2012,29000.0,160.0,1368.0,Gasoline,139.0,Front wheels,Manual,small_cars,3.0,gray,,,,30/04/2021,"Jaworzno, Śląskie","['ABS', 'Electric front windows', 'Drivers airbag', 'Power steering', 'Bluetooth', 'AUX socket', 'On-board computer', 'Xenon lights', 'CD', 'Electrically adjustable mirrors', 'Passengers airbag', 'Alloy wheels', 'Rain sensor', 'USB socket', 'MP3', 'Multifunction steering wheel', 'Central locking', 'Immobilizer', 'Factory radio', 'ASR (traction control)', 'ESP(stabilization of the track)', 'Automatic air conditioning', 'Front side airbags']"
4,97900,PLN,New,Abarth,595,,,2021,600.0,165.0,1368.0,Gasoline,,,Manual,small_cars,3.0,blue,,,,30/04/2021,"ul. Gorzysława 9 - 61-057 Poznań, Nowe Miasto (Polska)","['ABS', 'Electrically adjustable mirrors', 'Passengers airbag', 'Alloy wheels', 'Rear parking sensors', 'Isofix', 'Air curtains', 'Front side airbags', 'Multifunction steering wheel', 'Central locking', 'Immobilizer', 'Factory radio', 'ASR (traction control)', 'ESP(stabilization of the track)', 'Automatic air conditioning', 'Heated side mirrors', 'Tinted windows', 'Electric front windows', 'Drivers airbag', 'Power steering', 'Bluetooth', 'USB socket', 'On-board computer', 'Airbag protecting the knees', 'Daytime running lights']"
5,62950,PLN,Used,Abarth,595,,,2016,46060.0,180.0,1368.0,Gasoline,139.0,Front wheels,Manual,small_cars,3.0,gray,Germany,Yes,15/03/2016,30/04/2021,"Modlińska 157 - 03-186 Warszawa, Białołęka (Polska)","['ABS', 'Electric front windows', 'Drivers airbag', 'Power steering', 'ASR (traction control)', 'Rear parking sensors', 'USB socket', 'On-board computer', 'Front side airbags', 'Daytime running lights', 'CD', 'Electrically adjustable mirrors', 'Passengers airbag', 'Alarm', 'Bluetooth', 'ESP(stabilization of the track)', 'Isofix', 'MP3', 'Rear side airbags', 'Fog lights', 'Central locking', 'Immobilizer', 'Factory radio', 'Alloy wheels', 'Twilight sensor', 'AUX socket', 'Automatic air conditioning', 'Heated side mirrors', 'Tinted windows', 'Multifunction steering wheel']"
6,69900,PLN,Used,Abarth,595,,,2021,2900.0,145.0,1368.0,Gasoline,,,Manual,small_cars,2.0,black,Germany,,25/02/2021,29/04/2021,"Żary, żarski, Lubuskie",[]
7,69900,PLN,Used,Abarth,500,,,2019,20000.0,145.0,1368.0,Gasoline,139.0,Front wheels,Manual,small_cars,3.0,white,Poland,Yes,,29/04/2021,"Ojcowska 2 - 02-918 Warszawa, Mokotów (Polska)","['ABS', 'Electrically adjustable mirrors', 'Passengers airbag', 'Alarm', 'Bluetooth', 'USB socket', 'On-board computer', 'GPS navigation', 'Daytime running lights', 'Xenon lights', 'Central locking', 'Immobilizer', 'Factory radio', 'Alloy wheels', 'ESP(stabilization of the track)', 'Automatic air conditioning', 'Air curtains', 'Heated side mirrors', 'LED lights', 'Multifunction steering wheel', 'Electric front windows', 'Drivers airbag', 'Power steering', 'ASR (traction control)', 'AUX socket', 'Manual air conditioning', 'MP3', 'Airbag protecting the knees', 'Fog lights']"
8,120750,PLN,New,Abarth,595,,,2021,1.0,180.0,1368.0,Gasoline,,Front wheels,Manual,small_cars,3.0,blue,,,,03/05/2021,"ul. Gorzysława 9 - 61-057 Poznań, Nowe Miasto (Polska)","['ABS', 'Electrically adjustable mirrors', 'Passengers airbag', 'Alloy wheels', 'Twilight sensor', 'USB socket', 'On-board computer', 'Heated side mirrors', 'Tinted windows', 'Fog lights', 'Central locking', 'Immobilizer', 'Factory radio', 'Bluetooth', 'Rear parking sensors', 'Isofix', 'Air curtains', 'Airbag protecting the knees', 'Start-Stop system', 'Xenon lights', 'Electric front windows', 'Drivers airbag', 'Power steering', 'Rain sensor', 'ESP(stabilization of the track)', 'Automatic air conditioning', 'GPS navigation', 'Front side airbags', 'Daytime running lights', 'Multifunction steering wheel']"
9,93100,PLN,New,Abarth,595,,,2021,1.0,145.0,1398.0,Gasoline,,Front wheels,Manual,small_cars,3.0,gray,,,,03/05/2021,"ul. Gorzysława 9 - 61-057 Poznań, Nowe Miasto (Polska)","['ABS', 'Electrically adjustable mirrors', 'Passengers airbag', 'Alloy wheels', 'Rain sensor', 'ESP(stabilization of the track)', 'Automatic air conditioning', 'Heated side mirrors', 'Tinted windows', 'Fog lights', 'Central locking', 'Immobilizer', 'Factory radio', 'ASR (traction control)', 'Twilight sensor', 'USB socket', 'On-board computer', 'Airbag protecting the knees', 'Start-Stop system', 'Xenon lights', 'Electric front windows', 'Drivers airbag', 'Power steering', 'Bluetooth', 'Rear parking sensors', 'Isofix', 'Air curtains', 'Front side airbags', 'Daytime running lights', 'Multifunction steering wheel']"
